tourney,id,winner_name,wins
Hamburg Masters 1990,4,Dominic Thiem,0
Hamburg Masters 1990,4,Fabio Fognini,0
Hamburg Masters 1990,4,Daniil Medvedev,0
Hamburg Masters 1990,4,Hubert Hurkacz,0
Rome Masters 1990,5,Stefan Edberg,1
Rome Masters 1990,5,Andre Agassi,1
Rome Masters 1990,5,Andrei Chesnokov,1
Rome Masters 1990,5,Juan Aguilera,1
Rome Masters 1990,5,Thomas Muster,1
Rome Masters 1990,5,Michael Chang,0
Rome Masters 1990,5,Boris Becker,0
Rome Masters 1990,5,Jim Courier,0
Rome Masters 1990,5,Sergi Bruguera,0
Rome Masters 1990,5,Karel Novacek,0
Rome Masters 1990,5,Emilio Sanchez,0
Rome Masters 1990,5,Guy Forget,0
Rome Masters 1990,5,Pete Sampras,0
Rome Masters 1990,5,Goran Ivanisevic,0
Rome Masters 1990,5,Michael Stich,0
Rome Masters 1990,5,Mikael Pernfors,0
Rome Masters 1990,5,Andrei Medvedev,0
Rome Masters 1990,5,Roberto Carretero,0
Rome Masters 1990,5,Wayne Ferreira,0
Rome Masters 1990,5,Thomas Enqvist,0
Rome Masters 1990,5,Marcelo Rios,0
Rome Masters 1990,5,Alex Corretja,0
Rome Masters 1990,5,Chris Woodruff,0
Rome Masters 1990,5,Petr Korda,0
Rome Masters 1990,5,Carlos Moya,0
Rome Masters 1990,5,Albert Costa,0
Rome Masters 1990,5,Patrick Rafter,0
Rome Masters 1990,5,Richard Krajicek,0
Rome Masters 1990,5,Greg Rusedski,0
Rome Masters 1990,5,Mark Philippoussis,0
Rome Masters 1990,5,Gustavo Kuerten,0
Rome Masters 1990,5,Thomas Johansson,0
Rome Masters 1990,5,Cedric Pioline,0
Rome Masters 1990,5,Magnus Norman,0
Rome Masters 1990,5,Marat Safin,0
Rome Masters 1990,5,Juan Carlos Ferrero,0
Rome Masters 1990,5,Albert Portas,0
Rome Masters 1990,5,Andrei Pavel,0
Rome Masters 1990,5,Tommy Haas,0
Rome Masters 1990,5,Sebastien Grosjean,0
Rome Masters 1990,5,Lleyton Hewitt,0
Rome Masters 1990,5,Roger Federer,0
Rome Masters 1990,5,Guillermo Canas,0
Rome Masters 1990,5,Felix Mantilla,0
Rome Masters 1990,5,Guillermo Coria,0
Rome Masters 1990,5,Andy Roddick,0
Rome Masters 1990,5,Tim Henman,0
Rome Masters 1990,5,Rafael Nadal,0
Rome Masters 1990,5,Tomas Berdych,0
Rome Masters 1990,5,Tommy Robredo,0
Rome Masters 1990,5,Nikolay Davydenko,0
Rome Masters 1990,5,Novak Djokovic,0
Rome Masters 1990,5,David Nalbandian,0
Rome Masters 1990,5,Andy Murray,0
Rome Masters 1990,5,Jo-Wilfried Tsonga,0
Rome Masters 1990,5,Ivan Ljubicic,0
Rome Masters 1990,5,Robin Soderling,0
Rome Masters 1990,5,David Ferrer,0
Rome Masters 1990,5,Stan Wawrinka,0
Rome Masters 1990,5,Marin Cilic,0
Rome Masters 1990,5,Alexander Zverev,0
Rome Masters 1990,5,Grigor Dimitrov,0
Rome Masters 1990,5,Jack Sock,0
Rome Masters 1990,5,Juan Martin del Potro,0
Rome Masters 1990,5,John Isner,0
Rome Masters 1990,5,Karen Khachanov,0
Rome Masters 1990,5,Dominic Thiem,0
Rome Masters 1990,5,Fabio Fognini,0
Rome Masters 1990,5,Daniil Medvedev,0
Rome Masters 1990,5,Hubert Hurkacz,0
Canada Masters 1990,6,Stefan Edberg,1
Canada Masters 1990,6,Andre Agassi,1
Canada Masters 1990,6,Andrei Chesnokov,1
Canada Masters 1990,6,Juan Aguilera,1
Canada Masters 1990,6,Thomas Muster,1
Canada Masters 1990,6,Michael Chang,1
Canada Masters 1990,6,Boris Becker,0
Canada Masters 1990,6,Jim Courier,0
Canada Masters 1990,6,Sergi Bruguera,0
Canada Masters 1990,6,Karel Novacek,0
Canada Masters 1990,6,Emilio Sanchez,0
Canada Masters 1990,6,Guy Forget,0
Canada Masters 1990,6,Pete Sampras,0
Canada Masters 1990,6,Goran Ivanisevic,0
Canada Masters 1990,6,Michael Stich,0
Canada Masters 1990,6,Mikael Pernfors,0
Canada Masters 1990,6,Andrei Medvedev,0
Canada Masters 1990,6,Roberto Carretero,0
Canada Masters 1990,6,Wayne Ferreira,0
Canada Masters 1990,6,Thomas Enqvist,0
Canada Masters 1990,6,Marcelo Rios,0
Canada Masters 1990,6,Alex Corretja,0
Canada Masters 1990,6,Chris Woodruff,0
Canada Masters 1990,6,Petr Korda,0
Canada Masters 1990,6,Carlos Moya,0
Canada Masters 1990,6,Albert Costa,0
Canada Masters 1990,6,Patrick Rafter,0
Canada Masters 1990,6,Richard Krajicek,0
Canada Masters 1990,6,Greg Rusedski,0
Canada Masters 1990,6,Mark Philippoussis,0
Canada Masters 1990,6,Gustavo Kuerten,0
Canada Masters 1990,6,Thomas Johansson,0
Canada Masters 1990,6,Cedric Pioline,0
Canada Masters 1990,6,Magnus Norman,0
Canada Masters 1990,6,Marat Safin,0
Canada Masters 1990,6,Juan Carlos Ferrero,0
