year,id,winner_name,wins,rank,wins_lbl
Indian Wells Masters 1992,19,Guy Forget,2,6, 2
Indian Wells Masters 1992,19,Pete Sampras,0,13, 0
Indian Wells Masters 1992,19,Goran Ivanisevic,0,14, 0
Indian Wells Masters 1992,19,Michael Stich,0,15, 0
Miami Masters 1992,20,Stefan Edberg,3,1, 3
Miami Masters 1992,20,Andre Agassi,1,7, 1
Miami Masters 1992,20,Andrei Chesnokov,2,3, 2
Miami Masters 1992,20,Juan Aguilera,1,8, 1
Miami Masters 1992,20,Thomas Muster,1,9, 1
Miami Masters 1992,20,Michael Chang,3,2, 3
Miami Masters 1992,20,Boris Becker,2,4, 2
Miami Masters 1992,20,Jim Courier,2,5, 2
Miami Masters 1992,20,Sergi Bruguera,1,10, 1
Miami Masters 1992,20,Karel Novacek,1,11, 1
Miami Masters 1992,20,Emilio Sanchez,1,12, 1
Miami Masters 1992,20,Guy Forget,2,6, 2
Miami Masters 1992,20,Pete Sampras,0,13, 0
Miami Masters 1992,20,Goran Ivanisevic,0,14, 0
Miami Masters 1992,20,Michael Stich,0,15, 0
Monte Carlo Masters 1992,21,Stefan Edberg,3,1, 3
Monte Carlo Masters 1992,21,Andre Agassi,1,8, 1
Monte Carlo Masters 1992,21,Andrei Chesnokov,2,3, 2
Monte Carlo Masters 1992,21,Juan Aguilera,1,9, 1
Monte Carlo Masters 1992,21,Thomas Muster,2,4, 2
Monte Carlo Masters 1992,21,Michael Chang,3,2, 3
Monte Carlo Masters 1992,21,Boris Becker,2,5, 2
Monte Carlo Masters 1992,21,Jim Courier,2,6, 2
Monte Carlo Masters 1992,21,Sergi Bruguera,1,10, 1
Monte Carlo Masters 1992,21,Karel Novacek,1,11, 1
Monte Carlo Masters 1992,21,Emilio Sanchez,1,12, 1
Monte Carlo Masters 1992,21,Guy Forget,2,7, 2
Monte Carlo Masters 1992,21,Pete Sampras,0,13, 0
Monte Carlo Masters 1992,21,Goran Ivanisevic,0,14, 0
Monte Carlo Masters 1992,21,Michael Stich,0,15, 0
Hamburg Masters 1992,22,Stefan Edberg,4,1, 4
Hamburg Masters 1992,22,Andre Agassi,1,8, 1
Hamburg Masters 1992,22,Andrei Chesnokov,2,3, 2
Hamburg Masters 1992,22,Juan Aguilera,1,9, 1
Hamburg Masters 1992,22,Thomas Muster,2,4, 2
Hamburg Masters 1992,22,Michael Chang,3,2, 3
Hamburg Masters 1992,22,Boris Becker,2,5, 2
Hamburg Masters 1992,22,Jim Courier,2,6, 2
Hamburg Masters 1992,22,Sergi Bruguera,1,10, 1
Hamburg Masters 1992,22,Karel Novacek,1,11, 1
